anjia_11	15	anjia_11	A	其实我还真舍不得，让你去伺候媳妇	1	0,1	<root>
anjia_11	16	anjia_11	A	有你在店里，能帮我分担不少	2	1,2	Explanation
anjia_11	17	anjia_11	A	我这负担也小多了	3	2,3	Elaboration
anjia_11	18	anjia_11	A	帮我搭把手干活说个话	4	3,4	Elaboration
anjia_11	19	anjia_11	A	这，男女搭配干活不累嘛，呵呵	5	4,5	Commentary
anjia_11	20	anjia_11	B	亲家伺候媳妇那倒对	6	5,6	Commentary
anjia_11	21	anjia_11	B	我也不是她亲妈	7	6,7	Contrast
anjia_11	22	anjia_11	B	不知道她爱吃什么	8	7,8	Result
anjia_11	23	anjia_11	B	要是伺候不好	9	8,9	Elaboration
anjia_11	24	anjia_11	B	她不痛快我也不痛快	10	9,10	Conditional
anjia_11	25	anjia_11	A	你这么想就对了，呵呵	11	10,11	Commentary
anjia_11	26	anjia_11	A	咱们做父母的，不就是为儿女做贡献的吗	12	11,12	Elaboration
anjia_11	27	anjia_11	A	是不是？	13	12,13	Q-elab / Follow-up question
anjia_11	28	anjia_11	B	年底咱回去吧，回老家	14	13,14	Commentary
anjia_11	29	anjia_11	B	这夏天还能凑合	15	14,15	Explanation
anjia_11	30	anjia_11	B	冬天你那腰根本就不行	16	15,16	Continuation
anjia_11	31	anjia_11	A	我，我回老家？	17	14,17	Clarification Q
anjia_11	32	anjia_11	A	那哪成啊	18	17,18	Commentary
anjia_11	33	anjia_11	A	那，那我还能天天看见我孙子吗？	19	18,19	Explanation
anjia_11	34	anjia_11	A	是吧	20	19,20	Elaboration
anjia_11	35	anjia_11	A	咱再干几年	21	20,21	Result
anjia_11	36	anjia_11	A	等干不动了咱再回	22	15,22	Conditional
anjia_11	37	anjia_11	A	你说呢？	23	19,23	Q-elab / Follow-up question
anjia_11	38	anjia_11	B	咱们辛辛苦苦的，一辈子的钱买了房落不着住	24	22,24	Commentary
anjia_11	39	anjia_11	B	亲家什么都不管一分不花，就住进去了	25	24,25	Contrast
anjia_11	40	anjia_11	A	咋的了咋的了？	26	25,26	Commentary
anjia_11	41	anjia_11	A	你是咋的了这是？	27	26,27	Q-elab / Follow-up question
anjia_11	42	anjia_11	A	那房本上不是写着，咱严立军的名字呢吗，是吧？	28	25,28	Answer / Question answer pair
anjia_11	43	anjia_11	A	那，那亲家再咋住，那也改变不了这事实	29	28,29	Result
anjia_11	44	anjia_11	B	那不还写着倩倩的名字吗！	30	29,30	Contrast
anjia_11	45	anjia_11	B	早知道不带她名字呢	31	30,31	Commentary
anjia_11	46	anjia_11	A	不说了睡吧	32	31,32	Alternation
anjia_11	47	anjia_11	A	明天还得出早摊	33	32,33	Elaboration
anjia_12	56	anjia_12	A	七十一年了	1	0,1	<root>
anjia_12	57	anjia_12	A	我们老耿家，给他们家看房看了七十一年了	2	1,2	Elaboration
anjia_12	58	anjia_12	A	终于把他们盼回来了	3	2,3	Narration
anjia_12	59	anjia_12	A	不说感激的话，反而说我是骗子，哎呀	4	3,4	Contrast
anjia_12	60	anjia_12	B	我们要是想讹他	5	4,5	Commentary
anjia_12	61	anjia_12	B	还会等到今天？	6	5,6	Conditional
anjia_12	62	anjia_12	A	他居然不承认，这个赠予书是真的	7	4,7	Elaboration
anjia_12	63	anjia_12	A	说是假的	8	7,8	Contrast
anjia_12	64	anjia_12	A	我老耿要是能作假的话	9	8,9	Elaboration
anjia_12	65	anjia_12	A	我把整个向公馆，都说成是我的！	10	9,10	Conditional
anjia_12	66	anjia_12	A	隔了三代了	11	12,11	Background
anjia_12	67	anjia_12	A	他能怎么着！	12	10,12	Elaboration
anjia_12	68	anjia_12	B	就是嘛	13	12,13	Acknowledgement
anjia_12	69	anjia_12	B	我们要把钱看得那么重	14	13,14	Continuation
anjia_12	70	anjia_12	B	我早把这些空房子，我都租出去了	15	14,15	Conditional
anjia_12	71	anjia_12	B	我能收多少钱啊？	16	15,16	Commentary
anjia_12	72	anjia_12	A	我爷爷当年，为了保护这个向公馆	17	11,17	Background
anjia_12	73	anjia_12	A	被造反派	18	17,18	Result
anjia_12	74	anjia_12	A	打折过腰	19	18,19	Parallel
anjia_12	75	anjia_12	B	你爷爷真不值得	20	19,20	Commentary
anjia_12	76	anjia_12	B	我早就说过了，你们一家子都是死心眼	21	20,21	Commentary
anjia_12	77	anjia_12	B	你爷爷这样，你爸这样，到你还这样！	22	21,22	Explanation
anjia_12	78	anjia_12	A	你也知道	23	22,23	Contrast
anjia_12	79	anjia_12	A	我们一家子人，就是忠厚之人	24	23,24	Elaboration
anjia_12	80	anjia_12	A	受人之托	25	24,25	Elaboration
anjia_12	81	anjia_12	A	那就得忠人之事	26	25,26	Continuation
anjia_12	82	anjia_12	B	忠人之事？	27	26,27	Clarification Q
anjia_12	83	anjia_12	B	现在可好了	28	27,28	Commentary
